Naam,Pesar,Dokhtar,Rate
اَبدَه,1,,بسيار نادر
اَبيش,1,,بسيار نادر
اَپروَند,1,,بسيار نادر
اَپروَيژ,1,,بسيار نادر
اَپيوه,1,,بسيار نادر
اَترس,1,,بسيار نادر
اَدرك,,1,بسيار نادر
اَرتان,1,,بسيار نادر
اَردويسور,,1,بسيار نادر
اَرشَن,1,,بسيار نادر
اَرشام,1,,بسيار نادر
اَرشان,1,,بسيار نادر
اَرشيت,,1,بسيار نادر
اَشوداد,1,,بسيار نادر
اَگومان,1,,بسيار نادر
اَمُرداد,,1,بسيار نادر
اَمِستريس,,1,بسيار نادر
اَوَخشيا,1,,بسيار نادر
اَوَرداد,1,,بسيار نادر
اَوَركام,1,,بسيار نادر
اَهنَوَد,1,,بسيار نادر
اَهونَوَر,,1,بسيار نادر
اُزيرن,1,,بسيار نادر
اُشهن,1,,بسيار نادر
اُورنگ,1,,معمولي
اُوژن,1,,بسيار نادر
اِستاتيرا,,1,بسيار نادر
اباذر,1,,معمولي
ابالفضل,1,,معمولي
ابتسام,,1,معمولي
ابتهاج,1,,معمولي
ابتهاش,1,,بسيار نادر
ابتين,1,,معمولي
ابرارها,1,,بسيار نادر
ابراهيم,1,,پركاربرد
ابريشم,,1,بسيار نادر
ابناس,,1,بسيار نادر
ابوالحسن,1,,معمولي
ابوالحسين,1,,معمولي
ابوالعباس,1,,معمولي
ابوالعلا,1,,معمولي
ابوالفتح,1,,معمولي
ابوالفرج,1,,معمولي
ابوالفضل,1,,پركاربرد
ابوالقاسم,1,,معمولي
ابوبكر,1,,بسيار نادر
ابوذر,1,,معمولي
ابوريحان,1,,بسيار نادر
ابوطالب,1,,معمولي
ابوعزيز,1,,بسيار نادر
ابومسلم,1,,معمولي
اپرنگ,1,,بسيار نادر
اپرويز,1,,بسيار نادر
اتبك,1,,بسيار نادر
اترك,1,,بسيار نادر
اترين,1,,بسيار نادر
اثير,1,,بسيار نادر
اثيرالدين,1,,بسيار نادر
احترام,,1,معمولي
احتشام,1,,معمولي
احد,1,,معمولي
احسان,1,1,پركاربرد
احسان الله,1,,معمولي
احلام,,1,بسيار نادر
احمد,1,,پركاربرد
احمدرضا,1,,پركاربرد
احيا,1,,بسيار نادر
اختاي,1,,بسيار نادر
اختر,,1,معمولي
اختيارالدين,1,,بسيار نادر
اخشاد,1,,بسيار نادر
اخشيد,1,,بسيار نادر
اخگر,,1,بسيار نادر
ادريس,1,,معمولي
ادرينا,,1,بسيار نادر
ادليا,,1,بسيار نادر
ادنا,1,,بسيار نادر
ادهم,1,,معمولي
اديان,1,,بسيار نادر
اديب,1,,معمولي
اذرخش,1,,بسيار نادر
اراد,1,,بسيار نادر
اران,1,,بسيار نادر
ارانوس,,1,بسيار نادر
ارباب,1,,بسيار نادر
ارباد,1,,بسيار نادر
ارباس,1,,بسيار نادر
اربيل,1,,بسيار نادر
ارتا,1,1,بسيار نادر
ارتا آريا,1,,بسيار نادر
ارتاريا,1,,بسيار نادر
ارتاش,,1,بسيار نادر
ارتافرين,1,,بسيار نادر
ارتان,1,,بسيار نادر
ارتگين,1,,بسيار نادر
ارتمن,1,,بسيار نادر
